date,time,open,high,low,close,volume
2020-02-28,14:50:00,27180,27195,27155,27160,504266
2020-02-28,14:45:00,27170,27215,27155,27180,579120
2020-02-28,14:40:00,27180,27190,27160,27170,146522
2020-02-28,14:35:00,27220,27245,27175,27180,258782
2020-02-28,14:30:00,27200,27270,27195,27220,282607
2020-02-28,14:25:00,27210,27220,27175,27200,252122
2020-02-28,14:20:00,27235,27235,27195,27205,288889
2020-02-28,14:15:00,27245,27265,27210,27235,214261
2020-02-28,14:10:00,27200,27255,27185,27245,192545
2020-02-28,14:05:00,27210,27225,27185,27200,350769
2020-02-28,14:00:00,27250,27250,27205,27215,360712
2020-02-28,13:55:00,27255,27260,27220,27250,287257
2020-02-28,13:50:00,27250,27275,27245,27260,243941
2020-02-28,13:45:00,27245,27260,27240,27250,189792
2020-02-28,13:40:00,27280,27280,27240,27245,234801
2020-02-28,13:35:00,27310,27320,27275,27280,140579
2020-02-28,13:30:00,27285,27325,27280,27310,179712
2020-02-28,13:25:00,27285,27290,27255,27285,151611
2020-02-28,13:20:00,27280,27305,27255,27280,120245
2020-02-28,13:15:00,27270,27285,27235,27275,126043
2020-02-28,13:10:00,27270,27310,27260,27270,133004
2020-02-28,13:05:00,27300,27315,27250,27265,123374
2020-02-28,13:00:00,27350,27365,27295,27300,200604
2020-02-28,12:55:00,27310,27350,27290,27350,152748
2020-02-28,12:50:00,27265,27325,27250,27305,174168
2020-02-28,12:45:00,27235,27270,27225,27265,92039
2020-02-28,12:40:00,27305,27305,27235,27240,103470
2020-02-28,12:35:00,27290,27315,27250,27310,813312
2020-02-28,12:30:00,27280,27290,27240,27290,361680
2020-02-28,12:25:00,27280,27295,27260,27290,237203
2020-02-28,12:20:00,27310,27310,27275,27280,202764
2020-02-28,12:15:00,27295,27320,27280,27310,204021
2020-02-28,12:10:00,27320,27325,27290,27295,298089
2020-02-28,12:05:00,27330,27340,27310,27320,186703
2020-02-28,12:00:00,27340,27360,27330,27330,165408
2020-02-28,11:55:00,27365,27370,27330,27340,99724
2020-02-28,11:50:00,27375,27380,27340,27355,133018
2020-02-28,11:45:00,27395,27395,27350,27380,105189
2020-02-28,11:40:00,27390,27400,27355,27395,161259
2020-02-28,11:35:00,27410,27425,27370,27395,136819
2020-02-28,11:30:00,27465,27470,27390,27410,168435
2020-02-28,11:25:00,27500,27500,27465,27465,131877
2020-02-28,11:20:00,27460,27505,27460,27505,73664
2020-02-28,11:15:00,27505,27515,27450,27460,140167
2020-02-28,11:10:00,27385,27510,27380,27500,184408
2020-02-28,11:05:00,27405,27410,27365,27385,84972
2020-02-28,11:00:00,27435,27440,27405,27405,78474
2020-02-28,10:55:00,27420,27460,27395,27440,229144
2020-02-28,10:50:00,27480,27485,27415,27420,142996
2020-02-28,10:45:00,27445,27480,27435,27480,75667
2020-02-28,10:40:00,27495,27495,27425,27440,115003
2020-02-28,10:35:00,27485,27510,27470,27485,101950
2020-02-28,10:30:00,27470,27510,27450,27490,212127
2020-02-28,10:25:00,27485,27495,27445,27465,104477
2020-02-28,10:20:00,27540,27540,27480,27485,131136
2020-02-28,10:15:00,27515,27560,27515,27540,81050
2020-02-28,10:10:00,27580,27605,27510,27515,79552
2020-02-28,10:05:00,27595,27600,27545,27570,112892
2020-02-28,10:00:00,27630,27655,27585,27595,146912
2020-02-28,9:55:00,27555,27630,27555,27630,167785
2020-02-28,9:50:00,27560,27595,27525,27560,114566
2020-02-28,9:45:00,27510,27590,27475,27560,131110
2020-02-28,9:40:00,27490,27505,27430,27505,128652
2020-02-28,9:35:00,27525,27550,27445,27490,129127
2020-02-28,9:30:00,27520,27535,27460,27525,299205
2020-02-28,9:25:00,27560,27585,27505,27525,153597
2020-02-28,9:20:00,27635,27635,27495,27555,577012
2020-02-28,9:15:00,27675,27680,27615,27630,285552
2020-02-28,9:10:00,27645,27700,27630,27680,304898
2020-02-28,9:05:00,27695,27780,27650,27650,586225
2020-02-28,9:00:00,27685,27720,27615,27695,519011
2020-02-27,15:35:00,28095,28095,28095,28095,720
2020-02-27,15:30:00,28095,28095,28095,28095,404412
2020-02-27,15:15:00,28105,28120,28075,28110,91351
2020-02-27,15:10:00,28145,28160,28095,28110,79998
2020-02-27,15:05:00,28185,28190,28140,28145,73882
2020-02-27,15:00:00,28215,28215,28145,28180,120618
2020-02-27,14:55:00,28175,28220,28170,28210,72454
2020-02-27,14:50:00,28120,28175,28110,28170,162655
2020-02-27,14:45:00,28085,28125,28080,28120,79540
2020-02-27,14:40:00,28155,28165,28085,28090,107255
2020-02-27,14:35:00,28155,28170,28125,28155,106090
